date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:05:48	45907/45907	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202022%2019:35:49%20GMT	https://previewthemes.com/charityplus/product/2	C:/Users/rohit/Desktop/oye%20electric/oye%20electric%20tem1/previewthemes.com/charityplus/product/2.html	(from https://previewthemes.com/charityplus/home-1)
01:05:49	45229/45229	---M--	200	added ('OK')	image/jpeg	etag:%2261028749-b0ad%22	https://previewthemes.com/charityplus/sites/default/files/styles/medium/public/campaigns/donation-8.jpg?itok=SZHrYRxj	C:/Users/rohit/Desktop/oye%20electric/oye%20electric%20tem1/previewthemes.com/charityplus/sites/default/files/styles/medium/public/campaigns/donation-81cd7.jpg	(from https://previewthemes.com/charityplus/home-1)
01:05:49	121226/121226	---M--	200	added ('OK')	image/jpeg	etag:%226102e7ea-1d98a%22	https://previewthemes.com/charityplus/sites/default/files/campaigns/donation-9.jpg	C:/Users/rohit/Desktop/oye%20electric/oye%20electric%20tem1/previewthemes.com/charityplus/sites/default/files/campaigns/donation-9.jpg	(from https://previewthemes.com/charityplus/home-1)
01:05:50	8058/8058	---M--	200	added ('OK')	image/jpeg	etag:%2261028749-1f7a%22	https://previewthemes.com/charityplus/sites/default/files/styles/thumbnail/public/campaigns/donation-9.jpg?itok=2KqHXJHq	C:/Users/rohit/Desktop/oye%20electric/oye%20electric%20tem1/previewthemes.com/charityplus/sites/default/files/styles/thumbnail/public/campaigns/donation-9c000.jpg	(from https://previewthemes.com/charityplus/home-1)
01:05:51	8701/8701	---M--	200	added ('OK')	image/jpeg	etag:%2261028748-21fd%22	https://previewthemes.com/charityplus/sites/default/files/styles/thumbnail/public/campaigns/donation-5.jpg?itok=1b4QIFfM	C:/Users/rohit/Desktop/oye%20electric/oye%20electric%20tem1/previewthemes.com/charityplus/sites/default/files/styles/thumbnail/public/campaigns/donation-5104c.jpg	(from https://previewthemes.com/charityplus/home-1)
01:05:51	208070/208070	---M--	200	added ('OK')	image/jpeg	etag:%226102e7ea-32cc6%22	https://previewthemes.com/charityplus/sites/default/files/campaigns/donation-5.jpg	C:/Users/rohit/Desktop/oye%20electric/oye%20electric%20tem1/previewthemes.com/charityplus/sites/default/files/campaigns/donation-5.jpg	(from https://previewthemes.com/charityplus/home-1)
01:05:53	163708/163708	---M--	200	added ('OK')	image/jpeg	etag:%226102e7ea-27f7c%22	https://previewthemes.com/charityplus/sites/default/files/campaigns/donation-3.jpg	C:/Users/rohit/Desktop/oye%20electric/oye%20electric%20tem1/previewthemes.com/charityplus/sites/default/files/campaigns/donation-3.jpg	(from https://previewthemes.com/charityplus/home-1)
01:05:53	7771/7771	---M--	200	added ('OK')	image/jpeg	etag:%2261028748-1e5b%22	https://previewthemes.com/charityplus/sites/default/files/styles/thumbnail/public/campaigns/donation-3.jpg?itok=kQIGyD-K	C:/Users/rohit/Desktop/oye%20electric/oye%20electric%20tem1/previewthemes.com/charityplus/sites/default/files/styles/thumbnail/public/campaigns/donation-300bd.jpg	(from https://previewthemes.com/charityplus/home-1)
01:05:53	44565/44565	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202022%2019:35:54%20GMT	https://previewthemes.com/charityplus/product/3	C:/Users/rohit/Desktop/oye%20electric/oye%20electric%20tem1/previewthemes.com/charityplus/product/3.html	(from https://previewthemes.com/charityplus/home-1)
01:05:54	84977/84977	---M--	200	added ('OK')	image/jpeg	etag:%2261028749-14bf1%22	https://previewthemes.com/charityplus/sites/default/files/styles/medium/public/campaigns/donation-3.jpg?itok=sJcTlYaG	C:/Users/rohit/Desktop/oye%20electric/oye%20electric%20tem1/previewthemes.com/charityplus/sites/default/files/styles/medium/public/campaigns/donation-3e06a.jpg	(from https://previewthemes.com/charityplus/home-1)
